,,,,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$sawbench_full,Error when sawbench has no more room in the output slots,There's no room to saw more items!,XX,"Impossible de scier, il n'y a plus de place !",Non c'è spazio per segare altri oggetti!,"Es gibt keinen Platz mehr, um weitere Gegenstände zu sägen!",¡No hay lugar para serrar más objetos!,Sem espaço para serrar mais itens!,切るためのスペースが足りない！,,,"空间不足, 无法再锯更多物品!",XX
$uncappingbench_full,Error when uncapping bench has no more room in the output slots,There's no room to uncap more frames!,XX,"Impossible de désoperculer, il n'y a plus de place !",Non c'è spazio per disopercolare altri telai!,"Es gibt keinen Platz mehr, um weitere Rähmchen aufzuschaben!",¡No hay lugar para destapar más cuadros!,Sem espaço para abrir mais quadros!,フレームに空きを作るためのスペースが足りない！,,,"空间不足, 无法再给更多巢框除盖!",XX
$bin_bees,Error when trying to put bees in the trash bin,You can't throw away bees!,XX,Tu ne peux pas jeter des abeilles !,Non puoi gettare via delle api!,Bienen darf man nicht wegwerfen!,¡No puedes desechar abejas!,Você não pode descartar abelhas!,ハチは捨てられないよ！,,,无法丢弃蜜蜂!,XX
$bin_key,Error when trying to throw away 'key' / 'important' items in the trash bin,You can't throw away key items!,XX,Tu ne peux pas jeter les objets clés !,Non puoi gettare via degli oggetti chiave!,Du kannst keinen wichtigen Objekte wegwerfen!,¡No puedes desechar objetos clave!,Você não pode descartar itens importantes!,キーアイテムは捨てられないよ！,,,无法丢弃关键物品!,XX
$no_power,Error when no power in a machine's battery,There's not enough energy to power the machine!,XX,Il n'y a pas assez d'énergie pour alimenter la machine !,Non c'è abbastanza energia per alimentare la macchina!,"Es gibt nicht genug Energie, um die Maschine anzutreiben!",¡No hay suficiente energía para alimentar la máquina!,Energia insuficiente para alimentar a máquina!,機械を動かすだけのエネルギーがない！,,,"电力不足, 无法驱动机器!",XX
$invalid_bee,Error when trying to add a different species to a beebox that already has a species set,You can't add this species to this beebox!,XX,Impossible d'ajouter cette espèce à cette boîte à abeilles !,Non puoi aggiungere questa specie a questa scatola per api!,Du kannst diese Spezies nicht in diese Bienenkiste legen!,¡No puedes agregar esta especie a esta caja para abejas!,Você não pode adicionar essa espécie a essa caixa de abelhas!,ハチ用箱にこの種は入れられないよ！,,,无法将此物种加入这个蜂盒!,XX
$beehive_breed_queens,Error when trying to breed with queens,You can't breed with Queens!,XX,Impossible de reproduire des reines !,Non puoi riprodurre delle regine!,Du kannst mit Königinnen keine Fortpflanzung beginnen!,¡No puedes reproducir reinas!,Você não pode cruzar usando Rainhas!,女王とは交配できないよ！,,,无法用蜂后进行繁殖!,XX
$beehive_sleeping,Error when bees are currently asleep due to their behaviour,"Shhh, these bees are sleeping!",XX,"Shhh, ces abeilles sont en train de dormir !","Shhhh, quelle api stanno dormendo!","Pssst, diese Bienen schlafen!","¡Silencio, hay abejas durmiendo!","Xiu, as abelhinhas estão dormindo!",シーッ、ハチがおやすみ中だ！,,,"嘘, 这些蜜蜂在睡觉!",XX
$beehive_wet_rain,Error when bees don't like rain and it's currently raining,These bees don't like rain!,XX,Ces abeilles n'aiment pas la pluie !,Quelle api non amano la pioggia!,Diese Bienen mögen keinen Regen!,¡A estas abejas no les gusta la lluvia!,Essas abelhas não gostam de chuva!,このハチは雨が苦手だ！,,,这些蜜蜂不喜欢下雨!,XX
$beehive_wet_snow,Error when bees don't like snow and it's currently snowing,These bees don't like snow!,XX,Ces abeilles n'aiment pas la neige !,Quelle api non amano la neve!,Diese Bienen mögen keinen Schnee!,¡A estas abejas no les gusta la nieve!,Essas abelhas não gostam de neve!,このハチは雪が苦手だ！,,,这些蜜蜂不喜欢下雪!,XX
